fisier,pitch,nota
E5_10.wav,324.29903050454857,E4
E5_5.wav,220.524609375,A3
E5_6.wav,324.28773604612303,E4
E5_7.wav,131.2643804097732,C3
E5_8.wav,220.5299307723633,A3
E5_9.wav,648.5889809216604,E5
F3#_10.wav,183.76304394122238,F#3
F3#_5.wav,186.89095001926043,F#3
F3#_6.wav,186.88288625026814,F#3
F3#_7.wav,183.76407398897058,F#3
F3#_8.wav,186.88440511086603,F#3
F3#_9.wav,183.78186232009713,F#3
F3_10.wav,175.01395089285714,F3
F3_5.wav,175.01953125,F3
F3_6.wav,175.02205141129033,F3
F3_7.wav,175.01242897727272,F3
F3_8.wav,175.01981431159422,F3
F3_9.wav,175.02801344645434,F3
F4#_10.wav,367.5337558556076,F#4
F4#_5.wav,367.5531684027778,F#4
F4#_6.wav,367.5341796875,F#4
F4#_7.wav,183.76479945231958,F#3
F4#_8.wav,183.77708579009433,F#3
F4#_9.wav,183.77494231030272,F#3
F4#_v2.wav,367.52608788244476,F#4
F4_10.wav,175.01457483134837,F3
F4_5.wav,344.5746637159778,F4
F4_6.wav,175.01502403846152,F3
F4_7.wav,344.5638544525409,F4
F4_8.wav,344.5780168318176,F4
F4_9.wav,175.02874979464434,F3
F4_v2.wav,344.550205284441,F4
F5#_10.wav,735.0805302947299,F#5
F5#_5.wav,250.60377388946281,B3
F5#_6.wav,735.0552133413461,F#5
F5#_7.wav,735.0695561654206,F#5
F5#_8.wav,245.03187199167428,B3
F5#_9.wav,735.0956159750228,F#5
F5_10.wav,344.5624377659093,F4
F5_5.wav,355.68033189567166,F4
F5_6.wav,344.5554991026182,F4
F5_7.wav,344.5683482287067,F4
F5_8.wav,344.5683482287067,F4
F5_9.wav,344.5648726456524,F4
G3#_10.wav,208.03619272405564,G#3
G3#_5.wav,208.04242078547992,G#3
G3#_6.wav,208.04082937595615,G#3
G3#_7.wav,208.03391558569183,G#3
G3#_8.wav,208.03943941067587,G#3
G3#_9.wav,208.05705754595743,G#3
G3_10.wav,196.89161813117246,G3
G3_5.wav,196.8960696703767,G3
G3_6.wav,196.8939887152778,G3
G3_7.wav,196.88730468749998,G3
G3_8.wav,196.8994140625,G3
G3_9.wav,193.45459191589168,G3
G4#_10.wav,408.37655693165374,G#4
G4#_5.wav,424.09104567307696,G#4
G4#_6.wav,208.03229889482301,G#3
G4#_7.wav,408.36521693865336,G#4
G4#_8.wav,408.3814461333019,G#4
G4#_9.wav,208.0521669269174,G#3
G4#_v2.wav,408.36656358506946,G#4
G4_10.wav,393.7856431610392,G4
G4_5.wav,393.81152343750006,G4
G4_6.wav,393.7733043323864,G4
G4_7.wav,393.7923979756648,G4
G4_8.wav,393.7980651855469,G4
